Site,Batch Completion Date,Batch Number,Tank Number,Cost Center,Technology,Product,Inventory Category,Equalization Lot Number,Parent Batch Planned Qty,Parent Batch Actual Qty,PA Time,Formulated CM Time,QC Adj CM Time,Tot. CM Time,80 appv.,Filling Time,90 appv.,Tot. Time
Cleveland,2019-01-31,46336,T828 B8,5,WATERBASE,TSL105E,1836,806025180,3000.0,3440.52,1 days 12:49:26.000000000,2 days 05:20:57.000000000,5 days 08:16:09.000000000,8 days 11:51:26.000000000,46 days 20:14:28.000000000,0 days 22:34:22.000000000,1 days 08:18:02.000000000,51 days 07:08:15.000000000
Cleveland,2019-12-16,69951,T813 B8,5,WATERBASE,ADWBB588P,1231,806040148,800.0,847.75,1 days 14:00:42.000000000,0 days 19:12:26.000000000,38 days 14:04:23.000000000,42 days 16:35:59.000000000,46 days 19:09:20.000000000,5 days 11:53:36.000000000,0 days 03:51:03.000000000,55 days 14:05:18.000000000
Cleveland,2019-01-02,42946,,5,WATERBASE,NHWBKBR,1261,806018513,300.0,446.85,0 days 01:38:44.000000000,0 days 13:14:17.000000000,38 days 22:06:00.000000000,40 days 01:40:09.000000000,42 days 14:08:28.000000000,0 days 03:47:36.000000000,0 days 10:54:12.000000000,44 days 15:42:34.000000000
Cleveland,2019-07-31,61913,T806 B8,5,WATERBASE,KMDB301340,1241,806035368,1400.0,1453.39,3 days 04:42:32.000000000,1 days 02:13:48.000000000,41 days 07:37:53.000000000,43 days 05:10:59.000000000,42 days 08:05:20.000000000,0 days 05:53:51.000000000,1 days 07:58:46.000000000,49 days 22:01:59.000000000
Cleveland,2019-09-04,68831,T503 B24,6,CLEARCOAT,TMAC9000FR,1131,806039430,4001.0,4228.98,1 days 10:15:58.000000000,0 days 20:54:08.000000000,1 days 19:42:18.000000000,3 days 07:53:23.000000000,42 days 06:26:37.000000000,0 days 12:43:11.000000000,31 days 02:54:49.000000000,46 days 21:36:19.000000000
Cleveland,2019-05-15,55535,T806 B8,5,WATERBASE,JWBSSAM,1271,806030875,1500.0,1599.3,0 days 07:58:42.000000000,1 days 03:57:06.000000000,33 days 09:09:41.000000000,40 days 01:17:02.000000000,41 days 14:17:54.000000000,0 days 21:14:01.000000000,0 days 05:01:10.000000000,44 days 01:51:41.000000000
Cleveland,2019-09-26,69802,P27PW13,9,WBPRIMER,JWPB3T3,1291,806040053,225.0,229.54,4 days 16:08:40.000000000,2 days 08:20:26.000000000,6 days 14:35:26.000000000,9 days 09:04:41.000000000,40 days 20:17:14.000000000,0 days 04:37:00.000000000,0 days 05:26:19.000000000,48 days 04:48:55.000000000
Cleveland,2019-06-27,59961,T824 B8,5,WATERBASE,BIP2WC3W,1411,806033769,1500.0,1834.92,2 days 10:38:35.000000000,40 days 00:43:08.000000000,39 days 02:28:49.000000000,44 days 04:15:25.000000000,40 days 07:06:15.000000000,0 days 07:52:47.000000000,0 days 05:44:18.000000000,46 days 10:40:52.000000000
Cleveland,2019-02-14,46597,T824 B8,5,WATERBASE,BIP2WC6,1411,806025316,1500.0,1791.76,0 days 08:31:51.000000000,9 days 05:25:28.000000000,33 days 11:06:00.000000000,42 days 01:31:19.000000000,38 days 03:02:58.000000000,0 days 22:15:24.000000000,0 days 15:00:25.000000000,47 days 09:04:14.000000000
Cleveland,2019-06-29,61929,T156 B15,2,SOLVENTBASE,MBSP9294,1451,806035377,1500.0,1520.54,0 days 08:16:05.000000000,0 days 06:08:09.000000000,2 days 00:32:30.000000000,3 days 22:16:46.000000000,35 days 22:37:28.000000000,1 days 23:51:44.000000000,1 days 02:41:44.000000000,45 days 10:18:19.000000000
